epoch,train_loss,train_accuracy,train_auc,train_precision,train_recall,val_loss,val_accuracy,val_auc,val_precision,val_recall
1,0.7138994336128235,0.43471434712409973,0.3950466215610504,0.43471434712409973,0.43471434712409973,0.7196241021156311,0.3182438015937805,0.2519747018814087,0.3182438015937805,0.3182438015937805
2,0.7069202065467834,0.5278820395469666,0.5305445194244385,0.5278820395469666,0.5278820395469666,0.7100626230239868,0.45377692580223083,0.4369116723537445,0.45377692580223083,0.45377692580223083
3,0.7002809643745422,0.6329943537712097,0.6695123314857483,0.6329943537712097,0.6329943537712097,0.7022337913513184,0.6092173457145691,0.63719242811203,0.6092173457145691,0.6092173457145691
4,0.6923370957374573,0.6974950432777405,0.7472481727600098,0.6974950432777405,0.6974950432777405,0.6944525837898254,0.7019361853599548,0.7397494316101074,0.7019361853599548,0.7019361853599548
5,0.68144690990448,0.7256159782409668,0.7781727313995361,0.7256159782409668,0.7256159782409668,0.6863426566123962,0.7264794111251831,0.757846474647522,0.7264794111251831,0.7264794111251831
6,0.6651455163955688,0.7374240756034851,0.7938948273658752,0.7374240756034851,0.7374240756034851,0.677459180355072,0.723479688167572,0.7494151592254639,0.723479688167572,0.723479688167572
7,0.6411271095275879,0.7477988004684448,0.8017803430557251,0.7477988004684448,0.7477988004684448,0.6675542593002319,0.7163894176483154,0.7359049320220947,0.7163894176483154,0.7163894176483154
8,0.6116927862167358,0.7545560002326965,0.8065585494041443,0.7545560002326965,0.7545560002326965,0.6570590138435364,0.7202072739601135,0.7302898168563843,0.7202072739601135,0.7202072739601135
9,0.5829871296882629,0.7579687237739563,0.8116772174835205,0.7579687237739563,0.7579687237739563,0.6453456878662109,0.7202072739601135,0.7344254851341248,0.7202072739601135,0.7202072739601135
10,0.559808075428009,0.7617227435112,0.8172169923782349,0.7617227435112,0.7617227435112,0.63039630651474,0.7275702357292175,0.7467676401138306,0.7275702357292175,0.7275702357292175
11,0.5436726212501526,0.7650672197341919,0.822778046131134,0.7650672197341919,0.7650672197341919,0.6155490279197693,0.7371147871017456,0.759666383266449,0.7371147871017456,0.7371147871017456
12,0.5321347713470459,0.7692307829856873,0.8277960419654846,0.7692307829856873,0.7692307829856873,0.6036074757575989,0.742568850517273,0.769879162311554,0.742568850517273,0.742568850517273
13,0.5237081050872803,0.7712783813476562,0.8323062658309937,0.7712783813476562,0.7712783813476562,0.5937333106994629,0.7439323663711548,0.7782008647918701,0.7439323663711548,0.7439323663711548
14,0.5174153447151184,0.7727800011634827,0.8360474705696106,0.7727800011634827,0.7727800011634827,0.5861070156097412,0.7474775314331055,0.7843832969665527,0.7474775314331055,0.7474775314331055
15,0.5122546553611755,0.7752372026443481,0.8394275903701782,0.7752372026443481,0.7752372026443481,0.5791839361190796,0.7491137385368347,0.7898054718971252,0.7491137385368347,0.7491137385368347
16,0.5079799294471741,0.776261031627655,0.8422890901565552,0.776261031627655,0.776261031627655,0.5740987062454224,0.7542950510978699,0.7935929894447327,0.7542950510978699,0.7542950510978699
17,0.504351794719696,0.7782403826713562,0.8447273969650269,0.7782403826713562,0.7782403826713562,0.5681346654891968,0.7570220828056335,0.7981739044189453,0.7570220828056335,0.7570220828056335
18,0.5012715458869934,0.779605507850647,0.8468004465103149,0.779605507850647,0.779605507850647,0.5638132691383362,0.7605672478675842,0.8013109564781189,0.7605672478675842,0.7605672478675842
19,0.49849656224250793,0.7804245352745056,0.8487105369567871,0.7804245352745056,0.7804245352745056,0.5608820915222168,0.7613853216171265,0.8034267425537109,0.7613853216171265,0.7613853216171265
20,0.49610698223114014,0.7814483642578125,0.8503953218460083,0.7814483642578125,0.7814483642578125,0.556621253490448,0.7641123533248901,0.8065372705459595,0.7641123533248901,0.7641123533248901
21,0.4939490258693695,0.7817214131355286,0.8518311977386475,0.7817214131355286,0.7817214131355286,0.5531295537948608,0.7660212516784668,0.8091083765029907,0.7660212516784668,0.7660212516784668
22,0.4919884204864502,0.7817214131355286,0.8531205058097839,0.7817214131355286,0.7817214131355286,0.5487688183784485,0.7682029008865356,0.8124745488166809,0.7682029008865356,0.7682029008865356
23,0.490270733833313,0.7828134894371033,0.8543336391448975,0.7828134894371033,0.7828134894371033,0.5480546355247498,0.7682029008865356,0.8128523826599121,0.7682029008865356,0.7682029008865356
24,0.4886411130428314,0.7830864787101746,0.8554253578186035,0.7830864787101746,0.7830864787101746,0.5461367964744568,0.7684755921363831,0.8143161535263062,0.7684755921363831,0.7684755921363831
25,0.4871954321861267,0.7838372588157654,0.8564063906669617,0.7838372588157654,0.7838372588157654,0.542903482913971,0.7692937254905701,0.816582202911377,0.7692937254905701,0.7692937254905701
26,0.4858720004558563,0.7840420603752136,0.8572643995285034,0.7840420603752136,0.7840420603752136,0.5405478477478027,0.7698391079902649,0.8184139728546143,0.7698391079902649,0.7698391079902649
27,0.48464182019233704,0.7841785550117493,0.8581196665763855,0.7841785550117493,0.7841785550117493,0.5396038293838501,0.7703844904899597,0.8190920352935791,0.7703844904899597,0.7703844904899597
28,0.48350879549980164,0.7844515442848206,0.8588548302650452,0.7844515442848206,0.7844515442848206,0.5377466678619385,0.7706572413444519,0.8204270601272583,0.7706572413444519,0.7706572413444519
29,0.4824521839618683,0.7849975824356079,0.859569251537323,0.7849975824356079,0.7849975824356079,0.5361513495445251,0.7706572413444519,0.8216803073883057,0.7706572413444519,0.7706572413444519
30,0.48148924112319946,0.7851341366767883,0.8601769208908081,0.7851341366767883,0.7851341366767883,0.5342077016830444,0.7695664167404175,0.8230247497558594,0.7695664167404175,0.7695664167404175
31,0.4805752635002136,0.7860896587371826,0.8607420921325684,0.7860896587371826,0.7860896587371826,0.5330551862716675,0.7701117992401123,0.8240793943405151,0.7701117992401123,0.7701117992401123
32,0.47973477840423584,0.7867722511291504,0.8612779974937439,0.7867722511291504,0.7867722511291504,0.531909704208374,0.7698391079902649,0.8248686790466309,0.7698391079902649,0.7698391079902649
33,0.47895947098731995,0.7867722511291504,0.8617414236068726,0.7867722511291504,0.7867722511291504,0.5314889550209045,0.7701117992401123,0.8251433968544006,0.7701117992401123,0.7701117992401123
34,0.4782054126262665,0.786908745765686,0.8622608184814453,0.786908745765686,0.786908745765686,0.5279732942581177,0.7722934484481812,0.8277735710144043,0.7722934484481812,0.7722934484481812
35,0.47751036286354065,0.78663569688797,0.8627277612686157,0.78663569688797,0.78663569688797,0.5254951119422913,0.7722934484481812,0.8295950889587402,0.7722934484481812,0.7722934484481812
36,0.47682642936706543,0.7871817350387573,0.8631575107574463,0.7871817350387573,0.7871817350387573,0.5262055993080139,0.7731115221977234,0.8290555477142334,0.7731115221977234,0.7731115221977234
