epoch,train_loss,train_accuracy,train_auc,train_precision,train_recall,train_f1_score,val_loss,val_accuracy,val_auc,val_precision,val_recall,val_f1_score
1,0.7072381377220154,0.5731133818626404,0.5655210018157959,0.5731133818626404,0.5731133818626404,0.5731133222579956,0.708932101726532,0.5839956402778625,0.5589936971664429,0.5839956402778625,0.5839956402778625,0.5839955806732178
2,0.7026280164718628,0.6656895279884338,0.6893224716186523,0.6656895279884338,0.6656895279884338,0.6656894683837891,0.7031666040420532,0.688133716583252,0.7028710246086121,0.688133716583252,0.688133716583252,0.6881336569786072
3,0.6979135870933533,0.6873679161071777,0.7466686367988586,0.6873679161071777,0.6873679161071777,0.687367856502533,0.6972613334655762,0.7273225784301758,0.7666081786155701,0.7273225784301758,0.7273225784301758,0.727322518825531
4,0.6923199892044067,0.7064557671546936,0.7805113792419434,0.7064557671546936,0.7064557671546936,0.7064557075500488,0.6903323531150818,0.7388325333595276,0.8070167303085327,0.7388325333595276,0.7388325333595276,0.7388324737548828
5,0.6850695013999939,0.7195445895195007,0.799360454082489,0.7195445895195007,0.7195445895195007,0.719544529914856,0.6815363764762878,0.7643190026283264,0.8257277607917786,0.7643190026283264,0.7643190026283264,0.7643188834190369
6,0.6747230291366577,0.7285431623458862,0.8102849125862122,0.7285431623458862,0.7285431623458862,0.7285431027412415,0.6693223714828491,0.7722663879394531,0.8357070684432983,0.7722663879394531,0.7722663879394531,0.7722663283348083
7,0.6597861051559448,0.7356329560279846,0.8165486454963684,0.7356329560279846,0.7356329560279846,0.7356329560279846,0.651585578918457,0.7796656489372253,0.8429043292999268,0.7796656489372253,0.7796656489372253,0.7796655893325806
8,0.6388223767280579,0.7434044480323792,0.8210879564285278,0.7434044480323792,0.7434044480323792,0.7434043884277344,0.6262396574020386,0.782954216003418,0.8465794324874878,0.782954216003418,0.782954216003418,0.7829541563987732
9,0.6131762862205505,0.7498806715011597,0.824604868888855,0.7498806715011597,0.7498806715011597,0.7498806118965149,0.5955907106399536,0.7848725914955139,0.8486897349357605,0.7848725914955139,0.7848725914955139,0.7848725318908691
10,0.5873594284057617,0.7542436718940735,0.827198326587677,0.7542436718940735,0.7542436718940735,0.7542436122894287,0.565122127532959,0.7856947183609009,0.850109875202179,0.7856947183609009,0.7856947183609009,0.7856946587562561
11,0.5651761889457703,0.7584020495414734,0.8295423984527588,0.7584020495414734,0.7584020495414734,0.7584019899368286,0.5402655005455017,0.7870649695396423,0.85107421875,0.7870649695396423,0.7870649695396423,0.7870649099349976
12,0.5486990213394165,0.7608562111854553,0.8314850330352783,0.7608562111854553,0.7608562111854553,0.7608561515808105,0.5228374004364014,0.787613034248352,0.8517869710922241,0.787613034248352,0.787613034248352,0.7876129150390625
13,0.5370884537696838,0.7634467482566833,0.833351194858551,0.7634467482566833,0.7634467482566833,0.7634466886520386,0.5117872357368469,0.7856947183609009,0.8523099422454834,0.7856947183609009,0.7856947183609009,0.7856946587562561
14,0.5292176008224487,0.7648101449012756,0.8350671529769897,0.7648101449012756,0.7648101449012756,0.7648100256919861,0.5051055550575256,0.7865168452262878,0.8527219295501709,0.7865168452262878,0.7865168452262878,0.7865168452262878
15,0.5237025022506714,0.7672643065452576,0.8366472721099854,0.7672643065452576,0.7672643065452576,0.7672642469406128,0.5009020566940308,0.7854206562042236,0.8531675338745117,0.7854206562042236,0.7854206562042236,0.7854205965995789
16,0.519699215888977,0.7684231996536255,0.838214635848999,0.7684231996536255,0.7684231996536255,0.7684230804443359,0.49829891324043274,0.7848725914955139,0.8536551594734192,0.7848725914955139,0.7848725914955139,0.7848725318908691
17,0.5163843631744385,0.7695820927619934,0.8397263288497925,0.7695820927619934,0.7695820927619934,0.7695820331573486,0.49630582332611084,0.7848725914955139,0.8542052507400513,0.7848725914955139,0.7848725914955139,0.7848725318908691
